credit_group,scope,age,credited_performer_years,retained_performer_years,forward_continuity_rate,baseline_rate,normalized_continuity
women-coded,television,26,5011,3948,0.787866693274795,0.793742805459628,0.992596956918015
women-coded,television,27,5154,4071,0.789871944121071,0.793742805459628,0.99512328009535
women-coded,television,28,5230,4147,0.792925430210325,0.793742805459628,0.998970226572536
women-coded,television,29,5113,4046,0.791316252689224,0.793742805459628,0.996942897934048
women-coded,television,30,5167,4116,0.796593768143991,0.793742805459628,1.0035917965678
women-coded,television,31,5043,3972,0.787626412849494,0.793742805459628,0.992294238677739
women-coded,television,32,4907,3896,0.793967801100469,0.793742805459628,1.00028346164437
women-coded,television,33,4736,3778,0.797719594594595,0.793742805459628,1.0050101734562
women-coded,television,34,4471,3545,0.792887497204205,0.793742805459628,0.998922436525358
women-coded,television,35,4273,3410,0.798034168031828,0.793742805459628,1.0054064900402
women-coded,television,36,4118,3319,0.805973773676542,0.793742805459628,1.01540923348569
women-coded,television,37,3873,3143,0.81151562096566,0.793742805459628,1.02239115162214
women-coded,television,38,3753,2990,0.796695976552092,0.793742805459628,1.00372056423334
women-coded,television,39,3593,2891,0.804620094628444,0.793742805459628,1.01370379560482
women-coded,television,40,3346,2735,0.817393903167962,0.793742805459628,1.02979692860918
women-coded,television,41,3260,2646,0.811656441717791,0.793742805459628,1.02256856520141
women-coded,television,42,3132,2504,0.799489144316731,0.793742805459628,1.00723954764387
women-coded,television,43,2943,2377,0.807679238871899,0.793742805459628,1.01755787052986
women-coded,television,44,2857,2327,0.814490724536227,0.793742805459628,1.02613934757441
women-coded,television,45,2727,2219,0.813714704803814,0.793742805459628,1.0251616760578
women-coded,television,46,2566,2082,0.811379579111458,0.793742805459628,1.02221975875626
women-coded,television,47,2357,1932,0.819686041578277,0.793742805459628,1.03268468821412
women-coded,television,48,2313,1854,0.801556420233463,0.793742805459628,1.00984401335053
women-coded,television,49,2138,1714,0.801683816651076,0.793742805459628,1.01000451422908
women-coded,television,50,1975,1586,0.803037974683544,0.793742805459628,1.01171055556029
women-coded,television,51,1913,1542,0.806063774176686,0.793742805459628,1.01552262097031
women-coded,television,52,1862,1473,0.791084854994629,0.793742805459628,0.996651370637042
women-coded,television,53,1703,1366,0.802113916617734,0.793742805459628,1.01054637736623
women-coded,television,54,1656,1321,0.797705314009662,0.793742805459628,1.00499218200502
women-coded,television,55,1589,1248,0.785399622404028,0.793742805459628,0.989488807963721
women-coded,television,56,1440,1126,0.781944444444445,0.793742805459628,0.985135788401443
women-coded,television,57,1370,1086,0.792700729927007,0.793742805459628,0.998687137035507
women-coded,television,58,1249,974,0.77982385908727,0.793742805459628,0.982464160586251
women-coded,television,59,1214,951,0.7833607907743,0.793742805459628,0.98692017790408
women-coded,television,60,1095,843,0.76986301369863,0.793742805459628,0.969914950287744
women-coded,television,61,1060,824,0.777358490566038,0.793742805459628,0.979358156343725
women-coded,television,62,1005,783,0.77910447761194,0.793742805459628,0.981557845000924
women-coded,television,63,981,735,0.749235474006116,0.793742805459628,0.943927263154544
women-coded,television,64,898,705,0.785077951002227,0.793742805459628,0.989083548981104
women-coded,television,65,924,705,0.762987012987013,0.793742805459628,0.961252193706744
women-coded,television,66,815,604,0.741104294478528,0.793742805459628,0.93368316459811
women-coded,television,67,745,582,0.781208053691275,0.793742805459628,0.98420804361043
women-coded,television,68,695,519,0.746762589928058,0.793742805459628,0.940811790408146
women-coded,television,69,661,470,0.711043872919818,0.793742805459628,0.895811424089795
women-coded,television,70,619,451,0.72859450726979,0.793742805459628,0.917922659907307
women-coded,television,71,557,405,0.727109515260323,0.793742805459628,0.916051786874817
women-coded,television,72,541,383,0.707948243992606,0.793742805459628,0.891911383792208
women-coded,television,73,478,345,0.721757322175732,0.793742805459628,0.909308805334983
women-coded,television,74,423,289,0.683215130023641,0.793742805459628,0.86075127273502
women-coded,television,75,393,280,0.712468193384224,0.793742805459628,0.897605859837254
